status,package,source_folder,display_name,batch,source_path,processed_path,backup_path,replacement_format
done,actors-artists,artists,giorgio de chirico,batch_0001,actors-artists/artists/giorgio de chirico,photoroom_processed/actors-artists/artists/giorgio de chirico.png,photoroom_original_backups/batch_0001/actors-artists/artists/giorgio de chirico,.png
done,actors-artists,artists,hans holbein the younger,batch_0001,actors-artists/artists/hans holbein the younger,photoroom_processed/actors-artists/artists/hans holbein the younger.png,photoroom_original_backups/batch_0001/actors-artists/artists/hans holbein the younger,.png
done,actors-artists,artists,helen frankenthaler,batch_0001,actors-artists/artists/helen frankenthaler,photoroom_processed/actors-artists/artists/helen frankenthaler.png,photoroom_original_backups/batch_0001/actors-artists/artists/helen frankenthaler,.png
done,actors-artists,artists,helmut newton,batch_0001,actors-artists/artists/helmut newton,photoroom_processed/actors-artists/artists/helmut newton.png,photoroom_original_backups/batch_0001/actors-artists/artists/helmut newton,.png
done,actors-artists,artists,henry moore,batch_0001,actors-artists/artists/henry moore,photoroom_processed/actors-artists/artists/henry moore.png,photoroom_original_backups/batch_0001/actors-artists/artists/henry moore,.png
done,actors-artists,artists,irving penn,batch_0001,actors-artists/artists/irving penn,photoroom_processed/actors-artists/artists/irving penn.png,photoroom_original_backups/batch_0001/actors-artists/artists/irving penn,.png
done,actors-artists,artists,jackson pollock,batch_0001,actors-artists/artists/jackson pollock,photoroom_processed/actors-artists/artists/jackson pollock.png,photoroom_original_backups/batch_0001/actors-artists/artists/jackson pollock,.png
done,actors-artists,artists,jacques-louis david,batch_0001,actors-artists/artists/jacques-louis david,photoroom_processed/actors-artists/artists/jacques-louis david.png,photoroom_original_backups/batch_0001/actors-artists/artists/jacques-louis david,.png
done,actors-artists,artists,jasper johns,batch_0001,actors-artists/artists/jasper johns,photoroom_processed/actors-artists/artists/jasper johns.png,photoroom_original_backups/batch_0001/actors-artists/artists/jasper johns,.png
done,actors-artists,artists,jean arp,batch_0001,actors-artists/artists/jean arp,photoroom_processed/actors-artists/artists/jean arp.png,photoroom_original_backups/batch_0001/actors-artists/artists/jean arp,.png
done,actors-artists,artists,jean-michel basquiat,batch_0001,actors-artists/artists/jean-michel basquiat,photoroom_processed/actors-artists/artists/jean-michel basquiat.png,photoroom_original_backups/batch_0001/actors-artists/artists/jean-michel basquiat,.png
done,actors-artists,artists,jeff koons,batch_0001,actors-artists/artists/jeff koons,photoroom_processed/actors-artists/artists/jeff koons.png,photoroom_original_backups/batch_0001/actors-artists/artists/jeff koons,.png
done,actors-artists,artists,jeff wall,batch_0001,actors-artists/artists/jeff wall,photoroom_processed/actors-artists/artists/jeff wall.png,photoroom_original_backups/batch_0001/actors-artists/artists/jeff wall,.png
done,actors-artists,artists,joan mitchell,batch_0001,actors-artists/artists/joan mitchell,photoroom_processed/actors-artists/artists/joan mitchell.png,photoroom_original_backups/batch_0001/actors-artists/artists/joan mitchell,.png
done,actors-artists,artists,john olsen,batch_0001,actors-artists/artists/john olsen,photoroom_processed/actors-artists/artists/john olsen.png,photoroom_original_backups/batch_0001/actors-artists/artists/john olsen,.png
done,actors-artists,artists,julian schnabel,batch_0001,actors-artists/artists/julian schnabel,photoroom_processed/actors-artists/artists/julian schnabel.png,photoroom_original_backups/batch_0001/actors-artists/artists/julian schnabel,.png
done,actors-artists,artists,kazimir malevich,batch_0001,actors-artists/artists/kazimir malevich,photoroom_processed/actors-artists/artists/kazimir malevich.png,photoroom_original_backups/batch_0001/actors-artists/artists/kazimir malevich,.png
done,actors-artists,artists,lee ufan,batch_0001,actors-artists/artists/lee ufan,photoroom_processed/actors-artists/artists/lee ufan.png,photoroom_original_backups/batch_0001/actors-artists/artists/lee ufan,.png
